,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
119,Hawaii,21,11,10,.524,-4.52,-4.26,,9,9,,7,5,,4,4,,1503,1452,,68.4,99.3,.280,.303,.525,47.3,40.7,10.1,7.7,.493,15.5,24.5,.204
120,High Point,24,9,15,.375,-10.16,-6.95,,6,11,,5,5,,4,10,,1600,1677,,67.4,103.1,.341,.449,.550,49.0,58.2,9.2,10.6,.524,17.7,28.2,.232
121,Hofstra,23,13,10,.565,-1.80,-1.98,,8,6,,7,3,,5,6,,1683,1679,,68.9,105.4,.258,.381,.541,50.0,60.4,8.5,8.8,.511,15.1,28.9,.192
122,Holy Cross,16,5,11,.313,-0.17,5.27,,5,11,,2,7,,3,4,,1130,1217,,69.9,108.0,.352,.331,.558,52.9,48.6,9.8,8.0,.526,16.2,31.5,.252
123,Houston Baptist,25,6,19,.240,-16.93,-5.93,,4,11,,4,6,,1,12,,1776,2007,,74.2,107.6,.282,.385,.563,52.9,52.8,12.0,8.8,.537,16.6,31.2,.203
124,Houston NCAA,27,24,3,.889,22.16,4.16,,14,3,,15,0,,5,3,,2096,1562,,66.6,86.8,.415,.380,.467,43.8,52.0,7.5,7.0,.423,19.1,27.5,.274
125,Howard,5,1,4,.200,-13.77,-2.02,,0,0,,1,1,,0,0,,363,424,,73.1,115.8,.303,.411,.556,52.8,62.8,11.2,9.4,.542,10.4,30.6,.189
126,Idaho State,24,13,11,.542,-9.83,-7.14,,8,6,,8,3,,5,5,,1637,1481,,66.4,92.0,.330,.315,.494,45.3,44.7,10.7,5.9,.458,17.2,24.7,.226
127,Idaho,22,1,21,.045,-19.82,-4.41,,1,17,,1,9,,0,11,,1343,1682,,67.4,112.1,.358,.367,.578,53.4,48.6,13.1,8.6,.543,15.0,29.7,.267
128,Illinois-Chicago,22,9,13,.409,-11.38,-6.75,,6,10,,7,4,,2,9,,1489,1591,,69.6,102.7,.339,.267,.514,51.6,44.5,9.1,7.3,.480,12.4,27.3,.233
129,Illinois State,25,7,18,.280,-5.23,0.60,,4,14,,3,8,,3,9,,1799,1870,,70.7,104.2,.257,.415,.539,50.5,57.5,9.8,6.8,.512,14.7,26.1,.186
130,Illinois NCAA,29,23,6,.793,24.82,12.65,,16,4,,11,2,,9,3,,2361,2008,,71.5,95.6,.305,.330,.498,42.9,44.3,9.2,9.5,.466,14.3,22.2,.209
131,Incarnate Word,22,8,14,.364,-16.08,-8.50,,5,9,,5,7,,3,6,,1495,1578,,68.2,104.6,.324,.327,.541,52.9,53.4,9.7,9.2,.513,16.2,30.6,.222
132,Indiana State,25,15,10,.600,2.24,2.11,,11,7,,9,3,,5,6,,1662,1645,,66.8,98.6,.273,.380,.540,51.1,54.7,7.7,7.4,.515,19.4,26.5,.191
133,Indiana,27,12,15,.444,13.83,13.50,,7,12,,6,6,,3,7,,1882,1873,,67.1,100.1,.335,.376,.525,51.0,48.7,8.5,9.6,.488,15.6,27.3,.240
134,Iona NCAA,17,12,5,.706,-0.86,-7.15,,6,3,,4,2,,4,3,,1228,1121,,69.9,94.4,.463,.379,.505,45.6,54.3,10.5,7.3,.456,17.3,26.1,.320
135,Iowa State,24,2,22,.083,-0.53,10.60,,0,18,,2,10,,0,11,,1574,1841,,70.5,108.8,.362,.342,.558,54.6,48.8,11.5,9.0,.520,15.9,33.1,.268
136,Iowa NCAA,29,21,8,.724,23.19,11.36,,14,6,,14,2,,6,4,,2429,2086,,70.9,101.0,.226,.396,.505,48.0,59.8,7.5,8.0,.483,14.0,28.7,.153
137,Purdue-Fort Wayne,23,8,15,.348,-11.39,-7.87,,6,14,,5,6,,3,9,,1728,1809,,69.4,109.1,.304,.393,.558,50.7,50.0,10.8,7.2,.525,14.8,30.8,.227
138,IUPUI,18,8,10,.444,-10.89,-6.28,,7,9,,4,5,,4,5,,1281,1364,,72.7,104.3,.351,.347,.563,51.4,47.1,9.3,5.8,.527,16.9,25.3,.258
139,Jackson State,18,12,6,.667,-11.54,-14.32,,11,0,,6,0,,5,5,,1181,1131,,70.5,87.9,.411,.283,.484,48.8,45.2,9.2,8.2,.437,19.5,26.5,.283
140,Jacksonville State,27,18,9,.667,-2.60,-5.64,,13,6,,8,3,,7,5,,2005,1851,,68.0,99.5,.251,.418,.504,46.6,52.2,8.9,7.6,.479,14.3,27.7,.169
141,Jacksonville,24,11,13,.458,-10.94,-6.53,,5,9,,7,5,,4,8,,1622,1668,,69.5,99.4,.264,.394,.529,52.0,50.7,9.1,7.7,.504,18.2,28.9,.183
142,James Madison,20,13,7,.650,0.76,-2.30,,8,2,,10,3,,3,3,,1562,1409,,72.4,97.3,.321,.464,.525,49.8,55.2,8.2,9.0,.485,19.3,28.7,.239
143,Kansas State,29,9,20,.310,0.80,9.09,,4,14,,6,12,,2,7,,1792,2037,,66.5,105.5,.315,.406,.566,50.1,54.4,11.8,9.7,.534,17.7,28.0,.233
144,Kansas NCAA,28,20,8,.714,16.60,10.27,,12,6,,14,1,,4,6,,2047,1841,,69.5,94.2,.264,.377,.500,47.5,47.4,9.0,7.6,.468,17.5,26.5,.190
145,Kennesaw State,24,5,19,.208,-13.92,-3.44,,1,13,,4,9,,0,9,,1571,1672,,69.7,99.9,.328,.334,.539,50.0,41.3,9.9,7.0,.505,16.5,23.6,.237
146,Kent State,23,15,8,.652,2.48,-1.16,,12,6,,9,2,,6,5,,1764,1635,,70.9,99.8,.282,.397,.521,46.3,50.3,9.4,6.9,.491,16.0,27.8,.199
147,Kentucky,25,9,16,.360,12.44,12.16,,8,9,,5,6,,4,7,,1761,1754,,70.0,99.3,.297,.345,.505,48.8,48.9,8.7,9.1,.467,15.4,30.5,.220
148,La Salle,25,9,16,.360,-2.26,4.15,,6,11,,6,3,,3,11,,1702,1838,,69.7,105.0,.354,.377,.555,51.5,56.9,10.3,8.3,.517,17.1,29.0,.263
149,Lafayette,15,9,6,.600,-1.24,-2.24,,9,5,,6,3,,3,3,,1165,1150,,70.2,105.7,.337,.301,.539,52.7,47.9,7.0,7.9,.509,14.0,28.5,.233
150,Lamar,28,10,18,.357,-13.24,-6.70,,7,10,,5,5,,3,11,,1843,2026,,69.8,102.7,.275,.355,.545,51.6,56.2,9.9,7.9,.523,17.5,28.7,.186
151,Lehigh,15,4,11,.267,-8.71,-0.45,,4,10,,1,5,,3,6,,1025,1149,,71.3,106.5,.328,.345,.566,50.6,51.5,9.8,7.3,.532,15.2,23.8,.243
152,Liberty NCAA,28,23,5,.821,4.31,-6.69,,11,2,,13,0,,5,3,,2097,1670,,64.5,92.4,.272,.361,.496,47.0,42.4,8.1,7.1,.466,16.3,20.9,.188
153,Lipscomb,27,15,12,.556,-6.91,-5.48,,9,6,,10,4,,4,7,,1922,1848,,68.4,99.7,.212,.427,.523,50.4,49.4,8.6,8.9,.501,16.4,26.5,.149
154,Cal State Long Beach,18,6,12,.333,-9.93,-4.27,,4,8,,4,3,,1,8,,1328,1430,,74.2,104.2,.350,.379,.530,53.1,49.7,9.8,7.4,.495,15.2,31.5,.246
155,Long Island University,18,9,9,.500,-5.73,-6.79,,9,9,,6,3,,3,6,,1332,1313,,74.5,97.9,.284,.351,.528,48.9,52.2,8.9,7.6,.499,18.4,28.5,.201
156,Longwood,28,12,16,.429,-7.32,-6.25,,10,10,,8,5,,4,11,,1854,1886,,66.2,101.7,.334,.449,.551,49.9,48.8,9.5,9.9,.518,18.3,26.7,.240
157,Louisiana,26,17,9,.654,-4.88,-5.55,,10,7,,10,3,,6,4,,1934,1892,,72.1,99.9,.294,.314,.514,46.5,52.8,9.4,7.6,.476,14.6,27.3,.220
158,Louisiana-Monroe,26,7,19,.269,-10.63,-5.94,,5,13,,5,8,,2,10,,1670,1792,,67.7,101.4,.340,.365,.539,55.1,52.4,9.6,8.5,.504,18.4,31.9,.244
159,Louisiana State NCAA,27,18,9,.667,15.68,8.90,,11,6,,11,2,,4,6,,2217,2034,,72.8,103.0,.291,.443,.517,49.9,50.8,8.3,9.1,.485,15.6,32.8,.206
160,Louisiana Tech,28,21,7,.750,6.50,-1.50,,12,4,,15,1,,5,5,,2059,1810,,70.8,91.3,.262,.384,.488,47.2,49.1,8.7,8.4,.455,16.8,23.8,.187
161,Louisville,20,13,7,.650,11.20,9.75,,8,5,,9,2,,4,4,,1359,1330,,66.0,100.1,.298,.406,.511,46.7,49.8,8.8,9.0,.484,14.5,26.2,.197
162,Loyola (IL) NCAA,28,24,4,.857,14.60,-0.09,,16,2,,13,0,,8,3,,2002,1555,,63.9,86.2,.220,.336,.487,45.9,44.5,7.9,8.2,.461,19.6,20.4,.154
163,Loyola Marymount,22,13,9,.591,4.53,3.03,,7,5,,8,3,,4,5,,1529,1496,,67.8,99.7,.348,.366,.544,43.7,54.6,10.0,9.8,.508,15.8,20.4,.250
164,Loyola (MD),17,6,11,.353,1.74,0.56,,4,10,,3,4,,3,7,,1226,1206,,68.4,99.3,.334,.370,.530,47.3,51.3,11.3,7.4,.493,17.1,25.6,.243
165,Maine,9,2,7,.222,-14.86,-3.42,,2,6,,1,1,,1,6,,478,581,,65.4,98.6,.310,.390,.520,53.2,51.4,12.6,7.6,.488,17.9,30.3,.218
166,Manhattan,20,7,13,.350,-11.49,-7.64,,6,12,,4,6,,3,6,,1268,1345,,67.6,96.6,.468,.330,.527,50.5,55.5,8.7,11.2,.479,19.6,29.5,.330
167,Marist,21,12,9,.571,-8.25,-8.06,,10,8,,6,3,,6,5,,1332,1336,,66.7,94.2,.322,.425,.494,49.7,54.3,10.0,9.0,.457,15.9,25.4,.223
168,Marquette,27,13,14,.481,9.27,9.34,,8,11,,7,7,,6,6,,1883,1885,,68.4,101.7,.300,.370,.513,48.3,54.4,10.6,9.3,.477,13.8,28.3,.218
169,Marshall,22,15,7,.682,6.00,-1.37,,9,5,,9,3,,6,3,,1758,1596,,73.1,98.7,.275,.361,.523,51.3,44.8,9.5,7.4,.499,17.4,28.2,.183
170,Maryland-Baltimore County,20,14,6,.700,-0.12,-4.77,,10,4,,5,4,,9,2,,1391,1298,,68.7,94.5,.256,.411,.496,48.2,45.8,7.8,8.1,.464,15.8,24.3,.183
171,Maryland-Eastern Shore,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
172,Maryland NCAA,29,16,13,.552,15.32,12.85,,9,11,,11,6,,4,6,,1995,1884,,66.2,98.2,.259,.417,.510,50.2,51.9,8.7,8.6,.480,14.8,24.1,.185
173,Massachusetts-Lowell,23,11,12,.478,-5.30,-2.87,,7,8,,3,4,,6,6,,1575,1631,,69.3,102.4,.395,.363,.527,48.9,42.1,8.9,7.6,.484,14.4,26.6,.283
174,Massachusetts,15,8,7,.533,5.98,2.25,,6,4,,4,3,,3,3,,1151,1095,,72.3,98.5,.334,.302,.537,51.8,57.1,9.4,10.3,.509,17.8,25.6,.226
175,McNeese State,24,10,14,.417,-18.50,-11.61,,4,11,,7,5,,3,8,,1927,1722,,73.3,97.8,.282,.361,.534,46.4,53.2,10.3,9.0,.511,18.5,25.5,.188
176,Memphis,24,16,8,.667,12.77,3.56,,11,4,,10,1,,4,3,,1730,1509,,72.7,86.5,.361,.387,.480,45.4,51.2,8.5,8.3,.439,19.9,24.9,.247
177,Mercer,29,18,11,.621,1.78,-1.11,,8,9,,9,4,,6,6,,2225,2082,,70.1,100.7,.259,.385,.525,48.0,45.3,8.8,6.9,.499,15.0,24.6,.183
178,Merrimack,18,9,9,.500,-7.03,-6.64,,9,9,,6,3,,3,6,,1193,1200,,68.0,97.4,.330,.335,.515,54.7,57.9,9.8,7.2,.480,18.8,31.6,.232
179,Miami (FL),27,10,17,.370,4.13,8.65,,4,15,,7,8,,1,8,,1794,1916,,68.0,103.8,.198,.407,.544,49.8,55.5,10.2,11.0,.525,15.8,26.3,.139
180,Miami (OH),23,12,11,.522,-2.06,-2.11,,9,8,,7,4,,5,6,,1663,1647,,67.4,105.6,.270,.412,.547,50.4,52.8,8.0,10.3,.521,15.8,28.4,.191
181,Michigan State NCAA,27,15,12,.556,10.99,12.51,,9,11,,12,3,,3,8,,1864,1905,,69.1,102.1,.372,.340,.520,47.7,54.1,9.6,8.0,.478,13.5,26.1,.266
182,Michigan NCAA,24,20,4,.833,23.33,12.45,,14,3,,13,1,,6,2,,1830,1569,,67.6,96.3,.245,.327,.484,45.5,42.5,7.1,7.0,.449,13.2,24.8,.183
183,Middle Tennessee,23,5,18,.217,-10.53,-0.53,,3,13,,5,6,,0,9,,1426,1627,,69.8,101.2,.292,.338,.552,51.8,49.0,10.8,9.6,.526,17.9,25.4,.206
184,Milwaukee,22,10,12,.455,-6.95,-6.23,,7,10,,4,5,,6,6,,1662,1678,,71.1,104.9,.350,.394,.559,51.9,55.5,7.1,7.2,.526,16.5,26.6,.250
185,Minnesota,29,14,15,.483,12.04,12.73,,6,14,,13,4,,0,10,,2103,2123,,70.7,102.2,.343,.317,.530,52.0,56.8,7.5,7.3,.497,16.4,31.4,.239
186,Mississippi State,29,15,14,.517,8.97,6.73,,8,10,,9,6,,5,4,,1997,1932,,67.0,97.7,.241,.412,.504,45.0,58.3,10.0,8.9,.470,15.3,27.6,.184
187,Mississippi Valley State,24,2,22,.083,-38.54,-8.00,,2,13,,1,5,,1,16,,1364,2097,,73.9,118.3,.325,.363,.570,59.2,57.1,12.5,9.6,.549,12.5,35.7,.219
188,Mississippi,27,16,11,.593,12.04,6.34,,10,8,,10,4,,5,6,,1866,1712,,67.2,93.9,.330,.367,.518,46.6,58.4,9.8,8.1,.486,20.0,27.2,.226
189,Missouri-Kansas City,24,11,13,.458,-5.41,-3.16,,7,7,,8,3,,2,8,,1683,1502,,66.5,94.1,.516,.374,.539,49.7,53.5,8.0,8.4,.494,21.4,24.0,.356
190,Missouri State,24,17,7,.708,5.23,0.05,,12,6,,9,4,,7,2,,1762,1594,,68.7,96.7,.275,.355,.497,46.4,43.0,8.2,7.3,.468,13.3,22.1,.189
191,Missouri NCAA,25,16,9,.640,12.75,11.03,,8,8,,8,4,,6,4,,1841,1798,,70.5,101.0,.364,.329,.524,49.8,44.7,8.8,11.2,.485,16.0,29.2,.258
192,Monmouth,20,12,8,.600,-5.17,-6.92,,12,6,,7,2,,5,5,,1521,1486,,74.5,98.0,.384,.403,.524,51.4,55.6,8.6,10.6,.486,18.3,28.5,.266
193,Montana State,23,13,10,.565,-7.00,-6.00,,8,6,,5,3,,6,6,,1703,1655,,70.0,101.2,.375,.386,.544,49.3,44.4,8.3,7.6,.495,17.0,25.0,.290
194,Montana,28,15,13,.536,-5.15,-3.06,,7,9,,8,4,,5,8,,1981,1876,,68.0,97.3,.365,.334,.514,49.8,48.6,8.6,7.1,.481,16.1,26.1,.244
195,Morehead State NCAA,30,23,7,.767,-0.42,-4.53,,17,3,,12,1,,8,5,,2065,1902,,67.2,93.6,.231,.415,.492,45.2,49.7,11.4,9.0,.468,16.0,24.4,.156
196,Morgan State,22,14,8,.636,-5.42,-10.11,,7,5,,5,5,,7,2,,1755,1606,,75.9,96.2,.421,.412,.530,47.6,50.1,9.6,8.8,.485,20.4,29.2,.302
197,Mount St. Mary's NCAA,22,12,10,.545,-3.34,-4.75,,9,7,,6,3,,6,6,,1402,1371,,63.9,96.5,.246,.328,.494,46.1,41.3,10.5,8.3,.455,14.3,24.5,.193
198,Murray State,26,13,13,.500,-2.46,-7.79,,10,10,,9,4,,4,8,,1986,1739,,69.4,96.0,.301,.409,.515,47.0,47.1,7.5,10.8,.485,17.1,24.5,.207
199,Navy,18,15,3,.833,4.53,0.03,,12,1,,8,2,,6,1,,1287,1206,,67.2,98.3,.325,.388,.550,47.4,53.7,9.0,9.1,.524,20.0,25.0,.221
200,Omaha,25,5,20,.200,-13.18,-2.54,,3,11,,1,5,,3,12,,1683,1949,,72.2,108.0,.311,.363,.566,52.5,49.6,8.8,6.4,.535,15.0,26.6,.229
201,Nebraska,27,7,20,.259,7.08,13.27,,3,16,,6,9,,1,10,,1889,2004,,73.0,101.3,.282,.457,.524,52.3,54.6,9.3,10.7,.493,15.7,28.3,.203
202,Nevada-Las Vegas,27,12,15,.444,-1.36,1.12,,8,10,,8,4,,3,7,,1875,1822,,66.8,100.9,.331,.433,.536,47.3,59.7,7.5,8.8,.499,16.0,24.3,.241
203,Nevada,26,16,10,.615,5.26,1.98,,8,7,,10,2,,2,7,,1916,1812,,70.1,99.4,.402,.441,.525,49.2,60.1,9.3,7.5,.482,15.8,24.4,.287
204,New Hampshire,19,10,9,.526,-7.32,-5.82,,9,6,,5,6,,5,3,,1278,1266,,67.7,97.8,.382,.351,.530,48.5,41.9,7.8,9.5,.490,16.6,21.7,.273
205,New Mexico State,20,12,8,.600,-2.30,-6.18,,7,6,,4,2,,5,5,,1422,1283,,66.5,96.5,.341,.364,.525,45.8,51.1,7.1,7.0,.489,17.4,24.0,.243
206,New Mexico,22,6,16,.273,-12.44,-1.79,,1,8,,0,0,,3,8,,1436,1578,,69.2,102.5,.330,.421,.544,47.9,57.3,11.5,7.3,.516,17.1,28.0,.226
207,New Orleans,25,10,15,.400,-11.07,-9.90,,8,7,,6,3,,2,10,,1899,1910,,74.4,101.6,.370,.330,.538,50.2,49.0,11.1,8.9,.505,18.1,31.6,.253
208,Niagara,20,9,11,.450,-6.83,-6.28,,7,9,,5,3,,3,7,,1293,1304,,65.6,99.3,.325,.414,.529,53.4,60.9,7.1,9.4,.495,17.6,28.4,.232
209,Nicholls State,25,18,7,.720,-5.66,-9.16,,14,2,,8,1,,7,5,,1960,1831,,74.4,97.5,.341,.358,.524,49.8,49.2,7.7,6.7,.490,18.4,27.8,.238
210,NJIT,19,7,12,.368,-8.98,-4.93,,6,10,,3,5,,4,6,,1256,1333,,68.1,101.7,.294,.360,.549,54.3,48.8,6.7,9.3,.523,18.4,29.0,.205
211,Norfolk State NCAA,23,16,7,.696,-4.82,-9.39,,8,4,,7,4,,6,3,,1730,1591,,72.0,95.6,.407,.447,.514,49.4,54.1,7.6,9.3,.474,18.8,28.4,.279
212,North Alabama,24,13,11,.542,-9.85,-6.10,,7,8,,8,4,,3,6,,1756,1666,,71.3,96.4,.329,.423,.523,47.3,43.8,8.1,7.9,.491,17.6,23.4,.227
213,North Carolina-Asheville,20,10,10,.500,-6.42,-7.02,,9,5,,6,4,,4,6,,1468,1456,,69.9,102.2,.323,.310,.530,52.8,44.8,9.2,11.6,.497,16.9,33.2,.227
214,North Carolina A&T,21,11,10,.524,-13.84,-7.63,,7,1,,5,4,,5,6,,1517,1523,,74.3,97.0,.298,.386,.528,53.6,60.0,7.8,10.0,.502,21.4,33.5,.200
215,North Carolina Central,14,5,9,.357,-15.34,-8.11,,3,5,,4,2,,0,6,,942,1003,,69.7,101.9,.388,.357,.549,53.3,58.1,9.2,9.0,.510,19.1,31.4,.281
216,North Carolina-Greensboro NCAA,29,21,8,.724,3.91,-2.26,,13,5,,7,3,,10,3,,2135,1956,,70.5,95.2,.364,.421,.520,48.0,49.5,7.0,6.6,.481,18.6,25.3,.257
217,North Carolina State,23,13,10,.565,10.18,7.22,,9,8,,7,4,,5,5,,1684,1616,,68.5,102.0,.292,.345,.544,51.3,50.4,9.0,9.6,.515,19.1,32.5,.210
218,North Carolina-Wilmington,17,7,10,.412,-6.04,-5.66,,1,6,,3,4,,3,4,,1297,1253,,70.7,103.6,.314,.296,.552,52.5,41.0,7.4,8.3,.516,17.4,30.3,.237
219,North Carolina NCAA,28,18,10,.643,16.30,10.01,,10,6,,10,1,,3,7,,2119,1943,,71.9,96.5,.271,.381,.514,42.9,51.3,12.0,9.9,.487,17.1,26.3,.188
220,North Dakota State,27,15,12,.556,-1.20,-3.27,,11,5,,6,2,,5,7,,1883,1827,,66.6,101.2,.263,.367,.527,45.1,48.1,7.5,7.7,.499,12.6,19.7,.187
221,North Dakota,26,9,17,.346,-10.98,-3.98,,8,8,,5,3,,3,11,,1787,1969,,69.0,108.2,.304,.319,.566,52.4,46.7,9.2,9.9,.532,15.1,26.5,.232
222,North Florida,23,8,15,.348,-11.19,-4.33,,6,6,,5,3,,3,10,,1601,1725,,68.6,109.3,.317,.298,.534,53.1,55.6,11.6,10.4,.497,13.4,34.5,.233
223,North Texas NCAA,26,17,9,.654,7.43,-0.21,,9,5,,8,3,,5,6,,1815,1592,,65.6,92.9,.314,.344,.503,47.9,41.7,9.7,8.4,.465,19.0,26.3,.227
224,Northeastern,19,10,9,.526,-0.21,0.90,,8,2,,5,1,,4,7,,1277,1298,,68.4,99.2,.293,.315,.514,52.0,45.9,9.9,7.0,.483,15.1,26.3,.205
225,Northern Arizona,22,6,16,.273,-14.25,-2.89,,4,10,,1,7,,4,7,,1390,1640,,65.3,113.5,.332,.441,.609,54.3,56.8,8.2,8.3,.582,16.5,27.9,.244
226,Northern Colorado,22,11,11,.500,-8.06,-5.59,,6,8,,6,5,,4,5,,1551,1519,,69.4,99.0,.324,.232,.522,47.8,35.4,8.9,7.9,.480,13.8,21.0,.244
227,Northern Illinois,19,3,16,.158,-17.15,-2.05,,2,12,,2,7,,1,9,,1184,1471,,67.4,114.1,.338,.414,.578,50.7,58.7,8.9,7.1,.547,14.6,31.3,.248
228,Northern Iowa,25,10,15,.400,-1.65,2.53,,7,11,,6,5,,3,7,,1738,1779,,68.9,102.3,.262,.424,.551,48.4,52.5,10.5,8.0,.523,15.8,21.1,.193
229,Northern Kentucky,25,14,11,.560,-6.01,-6.13,,11,7,,9,4,,5,6,,1784,1781,,66.2,105.9,.325,.373,.543,49.2,53.8,9.1,6.0,.517,16.2,32.7,.219
230,Northwestern State,29,11,18,.379,-13.76,-5.22,,9,7,,6,4,,4,12,,2106,2312,,73.4,107.6,.348,.349,.556,52.7,55.4,10.0,7.6,.529,15.8,31.3,.238
231,Northwestern,24,9,15,.375,10.86,12.91,,6,13,,7,6,,2,8,,1686,1681,,69.3,100.1,.326,.426,.532,51.6,60.9,8.5,9.3,.499,16.3,25.2,.231
232,Notre Dame,26,11,15,.423,8.74,10.40,,7,11,,6,5,,4,8,,1890,1933,,67.4,110.3,.197,.359,.531,52.3,48.8,9.0,11.8,.508,10.9,29.7,.144
233,Oakland,30,12,18,.400,-8.51,-1.98,,10,10,,5,4,,6,11,,2240,2436,,70.6,111.3,.213,.427,.571,52.5,68.6,8.6,10.2,.554,16.1,33.6,.149
234,Ohio State NCAA,30,21,9,.700,19.93,13.56,,12,8,,10,4,,7,4,,2320,2129,,67.5,104.2,.338,.380,.524,48.2,55.4,6.8,7.8,.489,13.1,27.4,.239
235,Ohio NCAA,23,16,7,.696,5.75,-1.30,,9,5,,8,3,,4,4,,1860,1685,,71.9,101.9,.301,.394,.547,49.1,53.3,7.9,6.4,.510,17.6,27.3,.229
236,Oklahoma State NCAA,28,20,8,.714,14.15,9.97,,11,7,,10,3,,8,4,,2158,2041,,72.8,98.0,.305,.372,.506,47.9,48.5,11.1,10.4,.471,16.6,30.2,.216
