,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
119,Harvard,26,13,13,.500,-4.65,-4.17,,5,9,,9,6,,4,7,,1858,1797,,69.7,101.1,.263,.428,.528,49.8,43.6,10.8,7.3,.503,15.4,25.4,.182
120,Hawaii,28,17,11,.607,-0.10,-2.63,,12,5,,10,4,,5,5,,1928,1796,,66.2,104.0,.325,.420,.552,53.4,51.6,5.3,5.5,.516,17.3,29.1,.242
121,High Point,32,14,18,.438,-6.50,-3.36,,7,9,,10,6,,3,10,,2225,2232,,67.7,100.0,.343,.340,.523,49.6,49.5,9.3,12.7,.499,16.7,28.3,.219
122,Hofstra,32,21,11,.656,1.60,-0.80,,13,5,,12,2,,8,8,,2494,2333,,70.5,109.7,.209,.447,.566,48.2,53.3,11.2,8.0,.539,13.0,23.7,.166
123,Holy Cross,31,9,22,.290,-16.81,-7.84,,7,11,,5,9,,4,11,,2022,2192,,67.9,96.1,.281,.294,.497,48.9,42.5,8.7,9.9,.464,16.0,27.6,.199
124,Houston Baptist,29,11,18,.379,-14.22,-6.46,,6,8,,7,6,,3,8,,2190,2220,,72.2,102.9,.383,.363,.542,52.5,51.2,10.8,6.9,.504,17.8,31.9,.272
125,Houston NCAA,34,29,5,.853,22.30,5.36,,15,3,,16,1,,7,3,,2578,2002,,65.4,114.7,.287,.391,.556,55.3,59.5,12.5,17.3,.536,14.2,37.8,.192
126,Howard,29,16,13,.552,-6.55,-8.32,,9,5,,9,4,,5,8,,2215,2019,,73.4,103.6,.351,.395,.549,48.3,55.1,11.4,9.2,.510,17.5,28.9,.262
127,Idaho State,30,7,23,.233,-14.65,-4.97,,5,15,,5,8,,2,14,,1931,2146,,65.9,97.2,.339,.425,.517,49.9,46.5,6.8,6.3,.484,18.2,28.8,.232
128,Idaho,31,9,22,.290,-12.86,-4.45,,6,14,,8,7,,1,12,,2263,2468,,71.3,101.5,.351,.378,.550,49.0,47.4,4.9,5.5,.512,17.0,23.6,.258
129,Illinois-Chicago,30,14,16,.467,-8.47,-6.05,,9,10,,6,6,,8,8,,2159,2188,,69.4,102.4,.228,.461,.537,48.5,55.3,8.2,9.4,.514,15.2,24.6,.161
130,Illinois State,33,13,20,.394,-0.46,1.05,,5,13,,11,6,,1,11,,2447,2466,,69.2,104.4,.314,.366,.553,50.3,46.7,9.6,12.5,.518,17.0,28.5,.234
131,Illinois NCAA,31,22,9,.710,17.77,9.64,,15,5,,13,3,,7,4,,2349,2097,,68.2,110.2,.317,.427,.559,54.3,57.7,7.5,7.1,.531,15.2,33.4,.224
132,Incarnate Word,32,7,25,.219,-16.75,-4.06,,3,11,,5,10,,1,11,,2145,2445,,68.4,97.9,.284,.448,.533,45.6,50.2,7.6,4.8,.494,17.7,23.6,.223
133,Indiana State,31,11,20,.355,-3.15,2.28,,4,14,,8,6,,2,11,,2184,2230,,69.4,99.5,.264,.460,.552,49.3,52.3,8.5,5.1,.518,17.1,18.6,.206
134,Indiana NCAA,34,21,13,.618,13.90,8.28,,9,11,,14,4,,3,8,,2425,2234,,67.9,103.9,.335,.315,.541,52.1,56.8,8.2,14.4,.510,15.2,27.3,.233
135,Iona,32,25,7,.781,5.12,-1.85,,17,3,,13,0,,7,4,,2408,2185,,70.2,106.4,.375,.362,.541,51.3,61.2,9.1,15.7,.507,15.3,31.6,.262
136,Iowa State NCAA,32,20,12,.625,12.43,8.96,,7,11,,14,5,,4,6,,2127,2016,,67.2,98.2,.281,.374,.525,49.2,60.1,12.4,9.5,.499,17.9,28.2,.193
137,Iowa NCAA,35,26,9,.743,19.82,7.33,,12,8,,15,3,,6,6,,2932,2495,,70.4,118.2,.304,.391,.568,50.9,53.8,10.4,11.4,.536,11.1,32.1,.227
138,Purdue-Fort Wayne,32,21,11,.656,-5.01,-6.87,,15,6,,14,2,,6,7,,2359,2211,,69.4,104.6,.267,.449,.570,48.1,54.2,12.5,7.5,.542,17.2,23.1,.201
139,IUPUI,29,3,26,.103,-23.31,-6.23,,1,16,,2,11,,1,13,,1521,1946,,63.4,82.7,.264,.348,.461,49.0,54.4,9.0,8.4,.430,22.6,31.1,.176
140,Jackson State,30,11,19,.367,-9.77,-5.27,,9,9,,6,3,,5,15,,1829,1964,,65.9,92.1,.265,.304,.477,51.0,46.8,9.2,10.2,.453,17.1,31.4,.168
141,Jacksonville State NCAA,31,21,10,.677,0.02,-4.36,,13,3,,11,4,,9,5,,2292,2071,,67.5,109.1,.309,.429,.576,53.5,54.8,9.1,9.0,.555,17.1,29.6,.210
142,Jacksonville,31,21,10,.677,-1.95,-5.10,,11,5,,15,0,,6,10,,2081,1839,,63.1,106.0,.297,.316,.535,55.7,50.4,10.3,6.8,.505,15.3,33.6,.210
143,James Madison,29,15,14,.517,-4.33,-1.30,,6,12,,9,6,,5,6,,2178,2123,,70.5,105.1,.293,.359,.550,48.2,48.3,11.9,6.5,.525,15.4,26.9,.204
144,Kansas State,31,14,17,.452,10.75,9.21,,6,12,,9,7,,5,7,,2139,2091,,67.4,101.5,.296,.424,.527,48.1,51.6,10.8,4.9,.494,14.9,25.3,.215
145,Kansas NCAA,34,28,6,.824,21.85,11.41,,14,4,,16,1,,6,4,,2672,2317,,69.5,111.8,.328,.338,.571,53.3,53.9,9.1,10.5,.541,15.4,33.4,.238
146,Kennesaw State,31,13,18,.419,-4.33,-2.44,,7,9,,10,6,,3,12,,2319,2206,,68.3,107.7,.297,.385,.553,51.7,52.5,10.3,8.3,.533,15.5,30.9,.197
147,Kent State,33,23,10,.697,0.36,-2.81,,16,4,,11,4,,8,4,,2344,2134,,67.4,105.3,.320,.400,.544,53.2,49.7,10.6,11.4,.507,15.9,31.4,.239
148,Kentucky NCAA,33,26,7,.788,21.86,8.40,,14,4,,18,0,,6,5,,2622,2178,,69.3,114.2,.272,.280,.560,57.1,52.9,9.8,11.0,.534,14.0,37.9,.198
149,La Salle,30,11,19,.367,-3.34,0.70,,5,13,,8,7,,2,10,,2025,2146,,68.4,97.4,.251,.399,.504,50.0,54.0,8.5,11.5,.477,16.4,28.9,.173
150,Lafayette,30,10,20,.333,-12.55,-6.62,,7,11,,6,9,,4,11,,2034,2185,,66.0,100.6,.215,.458,.527,46.2,64.1,9.3,9.0,.508,14.6,22.9,.147
151,Lamar,29,2,27,.069,-15.54,-2.28,,0,16,,2,9,,0,18,,1778,2116,,67.5,90.8,.262,.307,.478,49.1,48.3,8.6,9.1,.447,18.5,30.2,.180
152,Lehigh,32,13,19,.406,-10.74,-7.48,,10,8,,9,7,,4,12,,2190,2284,,68.8,99.1,.256,.382,.548,48.8,56.9,6.4,8.1,.520,17.6,21.1,.190
153,Liberty,33,22,11,.667,2.09,-3.78,,12,4,,13,3,,6,3,,2421,2094,,66.0,110.3,.278,.495,.594,52.2,57.1,8.1,5.9,.567,15.8,23.0,.210
154,Lipscomb,33,14,19,.424,-8.30,-3.16,,6,10,,9,6,,3,13,,2442,2536,,71.2,104.0,.351,.417,.563,49.8,59.1,6.2,7.0,.529,16.4,23.1,.255
155,Long Beach State,32,20,12,.625,0.13,0.47,,14,3,,11,3,,6,6,,2365,2316,,71.6,102.1,.376,.317,.537,50.8,49.5,9.7,8.8,.496,16.3,28.1,.273
156,Long Island University,30,16,14,.533,-7.50,-6.91,,12,6,,12,1,,4,13,,2245,2204,,73.3,101.2,.297,.400,.519,50.6,62.6,10.4,13.4,.491,15.9,30.4,.202
157,Longwood NCAA,32,26,6,.813,0.13,-6.98,,15,1,,16,1,,7,5,,2443,2082,,67.8,111.7,.349,.367,.557,55.1,52.6,11.3,7.8,.523,14.9,34.6,.253
158,Louisiana,31,16,15,.516,-2.50,-2.71,,8,9,,7,6,,6,8,,2203,2151,,70.5,100.0,.352,.368,.527,53.4,50.1,9.6,11.1,.491,18.5,33.3,.247
159,Louisiana-Monroe,31,13,18,.419,-8.44,-2.33,,5,13,,8,7,,5,10,,2246,2304,,69.7,102.7,.261,.351,.541,46.7,55.5,10.2,7.9,.514,16.0,25.8,.189
160,Louisiana State NCAA,33,22,11,.667,18.05,8.48,,9,9,,15,2,,3,8,,2413,2097,,70.6,102.8,.330,.346,.532,51.4,48.7,15.6,14.8,.495,17.5,33.8,.241
161,Louisiana Tech,34,24,10,.706,5.42,0.29,,12,6,,13,3,,8,5,,2558,2312,,70.0,107.4,.314,.413,.556,50.3,51.0,9.3,6.0,.525,14.6,26.5,.227
162,Louisville,32,13,19,.406,3.92,6.71,,6,14,,8,8,,2,10,,2154,2243,,67.5,98.9,.251,.422,.511,50.8,48.1,9.0,6.8,.488,15.7,27.3,.169
163,Loyola (IL) NCAA,32,25,7,.781,14.17,2.94,,13,5,,12,2,,8,3,,2362,1975,,65.8,110.5,.317,.428,.590,52.4,57.1,10.3,7.3,.565,16.3,25.1,.228
164,Loyola Marymount,29,11,18,.379,-1.63,3.55,,3,12,,6,7,,3,9,,2010,2148,,67.5,101.8,.320,.385,.552,47.9,45.0,8.0,4.9,.521,17.5,24.7,.230
165,Loyola (MD),30,14,16,.467,-8.40,-7.95,,8,10,,10,3,,3,12,,1984,1970,,66.7,98.3,.245,.384,.526,49.0,60.0,11.6,8.0,.504,17.2,24.7,.168
166,Maine,29,6,23,.207,-18.30,-5.26,,3,15,,5,9,,1,14,,1811,2063,,66.6,93.8,.209,.385,.498,46.9,56.4,10.8,7.9,.473,16.8,25.0,.148
167,Manhattan,30,15,15,.500,-7.99,-4.19,,8,12,,8,5,,4,9,,2126,2179,,69.5,100.8,.407,.332,.537,49.7,47.4,10.2,8.8,.491,18.0,30.2,.300
168,Marist,30,14,16,.467,-4.58,-5.18,,9,11,,7,6,,7,9,,2063,2045,,66.9,101.5,.250,.377,.531,50.0,35.3,8.6,9.8,.504,16.0,26.4,.180
169,Marquette NCAA,31,19,12,.613,12.54,9.02,,11,8,,13,3,,4,7,,2306,2197,,71.4,103.3,.268,.417,.555,47.1,59.4,10.9,12.7,.526,15.7,22.4,.200
170,Marshall,33,12,21,.364,-4.41,0.31,,4,14,,8,9,,3,11,,2442,2523,,73.3,100.9,.238,.394,.521,49.3,51.3,9.2,11.9,.495,15.6,27.8,.168
171,Maryland-Baltimore County,32,18,14,.563,-6.00,-6.45,,11,7,,11,4,,6,10,,2359,2307,,68.8,106.7,.306,.425,.562,47.5,48.7,6.9,5.3,.524,14.3,21.9,.240
172,Maryland-Eastern Shore,26,11,15,.423,-12.41,-7.23,,6,8,,6,4,,5,10,,1736,1726,,70.0,94.5,.312,.420,.503,49.5,53.0,14.4,6.9,.477,18.8,29.9,.202
173,Maryland,32,15,17,.469,9.75,9.53,,7,13,,10,8,,3,7,,2270,2263,,67.4,104.4,.339,.372,.536,50.1,47.1,9.4,8.7,.494,14.7,27.3,.257
174,Massachusetts-Lowell,31,15,16,.484,-7.00,-6.57,,7,11,,8,6,,6,9,,2191,2040,,68.9,101.8,.264,.320,.521,50.8,43.6,10.5,11.0,.494,15.5,29.5,.185
175,Massachusetts,32,15,17,.469,-0.52,1.85,,7,11,,10,5,,3,8,,2422,2498,,69.2,108.1,.328,.431,.551,49.0,53.1,9.2,6.8,.513,14.4,29.3,.248
176,McNeese State,33,11,22,.333,-11.50,-4.77,,4,10,,6,5,,2,13,,2579,2555,,74.2,103.0,.366,.329,.530,53.9,44.8,10.3,9.0,.502,18.1,36.1,.241
177,Memphis NCAA,31,21,10,.677,14.40,7.37,,13,5,,13,2,,5,6,,2338,2120,,71.4,105.6,.384,.308,.557,54.3,59.6,12.2,16.8,.526,19.5,37.5,.266
178,Mercer,33,16,17,.485,-3.30,-1.04,,8,10,,10,4,,4,11,,2325,2328,,66.3,105.5,.288,.422,.565,50.6,57.1,9.2,8.9,.531,16.5,25.3,.221
179,Merrimack,30,14,16,.467,-10.63,-6.59,,9,8,,7,7,,7,9,,1843,1931,,64.0,95.2,.262,.404,.512,42.9,51.4,14.0,11.4,.488,16.4,22.2,.177
180,Miami (FL) NCAA,33,23,10,.697,10.10,6.31,,14,6,,10,5,,10,2,,2469,2344,,67.5,110.5,.288,.359,.571,46.9,50.9,12.9,8.5,.542,12.8,23.4,.214
181,Miami (OH),32,14,18,.438,-5.99,-3.79,,8,12,,9,8,,5,9,,2408,2351,,68.9,108.3,.241,.426,.546,48.7,50.6,8.0,9.1,.513,13.1,27.2,.190
182,Michigan State NCAA,34,22,12,.647,13.77,10.12,,11,9,,12,3,,5,6,,2451,2327,,68.1,105.9,.304,.334,.553,53.2,60.7,8.6,13.7,.520,16.7,30.7,.227
183,Michigan NCAA,31,17,14,.548,14.08,10.92,,11,9,,10,5,,5,7,,2264,2166,,67.5,108.2,.289,.323,.555,54.2,52.4,7.1,8.1,.523,14.9,31.2,.216
184,Middle Tennessee,33,23,10,.697,3.96,-0.95,,13,5,,15,0,,5,9,,2456,2217,,68.8,106.6,.320,.431,.554,51.0,47.9,11.5,11.9,.517,16.4,30.6,.243
185,Milwaukee,32,10,22,.313,-12.87,-6.00,,8,14,,6,10,,4,10,,2073,2264,,68.0,95.3,.270,.348,.509,49.3,48.0,7.2,10.4,.477,17.2,25.9,.194
186,Minnesota,30,13,17,.433,6.41,8.61,,4,16,,8,7,,3,9,,2010,2076,,65.5,101.5,.236,.374,.532,45.0,50.9,8.1,7.3,.507,12.7,17.5,.170
187,Mississippi State,33,18,15,.545,12.36,7.91,,8,10,,14,3,,1,9,,2339,2192,,66.8,104.9,.384,.281,.536,54.4,52.9,11.9,10.6,.495,16.6,34.4,.278
188,Mississippi Valley State,28,2,26,.071,-21.90,-6.15,,2,16,,0,11,,2,15,,1882,2323,,72.5,90.7,.314,.380,.477,42.3,48.0,9.9,5.8,.445,16.0,23.3,.206
189,Mississippi,32,13,19,.406,7.04,7.57,,4,14,,10,8,,2,7,,2180,2197,,67.0,100.5,.287,.373,.526,49.4,53.2,10.5,7.8,.496,15.9,26.7,.204
190,Kansas City,31,19,12,.613,-4.97,-4.71,,12,6,,11,3,,8,7,,2311,2085,,70.2,106.2,.311,.344,.563,48.5,48.0,10.6,8.3,.541,13.7,20.4,.210
191,Missouri State,34,23,11,.676,8.64,1.40,,13,5,,12,4,,8,5,,2628,2342,,68.1,112.6,.277,.382,.587,52.2,43.3,7.8,9.2,.553,13.9,25.1,.221
192,Missouri,33,12,21,.364,3.31,9.47,,5,13,,8,8,,2,10,,2160,2325,,67.4,96.8,.300,.328,.510,51.2,50.5,9.6,11.2,.472,18.3,32.0,.221
193,Monmouth,34,21,13,.618,-0.79,-2.09,,11,9,,9,5,,10,7,,2333,2289,,67.1,101.5,.369,.340,.518,50.9,49.6,9.3,9.9,.475,15.0,29.4,.269
194,Montana State NCAA,34,27,7,.794,0.49,-6.04,,16,4,,13,1,,9,6,,2617,2328,,69.6,109.4,.387,.372,.583,53.4,49.7,7.4,10.3,.544,16.2,27.3,.292
195,Montana,32,18,14,.563,-6.16,-5.88,,11,9,,14,3,,4,10,,2310,2141,,67.5,106.5,.362,.366,.563,47.5,52.9,8.1,7.7,.517,13.8,19.5,.284
196,Morehead State,34,23,11,.676,1.11,-3.12,,13,5,,12,2,,8,8,,2379,2158,,66.6,104.8,.284,.413,.551,52.6,62.9,8.8,14.7,.530,17.5,31.2,.189
197,Morgan State,27,13,14,.481,-12.36,-7.88,,7,6,,8,3,,3,9,,2035,1955,,75.8,98.9,.324,.317,.518,50.4,54.2,11.1,10.0,.489,17.6,31.4,.218
198,Mount St. Mary's,30,14,16,.467,-7.97,-6.97,,9,7,,8,5,,6,11,,1984,1958,,65.3,100.5,.263,.305,.521,51.5,53.1,8.7,10.8,.496,16.9,31.4,.181
199,Murray State NCAA,32,30,2,.938,10.39,-3.61,,18,0,,15,0,,11,1,,2538,1993,,68.3,116.1,.313,.376,.569,55.9,50.7,11.6,9.4,.545,14.1,36.0,.218
200,Navy,32,21,11,.656,-2.93,-6.35,,12,6,,9,6,,11,5,,2079,1924,,64.7,99.7,.302,.315,.507,54.3,50.9,10.8,10.4,.481,16.7,33.7,.198
201,Omaha,30,5,25,.167,-16.51,-1.78,,4,14,,5,9,,0,15,,2088,2505,,71.4,97.4,.286,.341,.525,46.9,43.4,6.7,6.9,.492,17.1,24.2,.209
202,Nebraska,32,10,22,.313,3.49,8.74,,4,16,,7,12,,3,8,,2345,2513,,72.0,99.8,.333,.374,.540,45.2,49.0,9.8,7.2,.503,15.6,20.5,.244
203,Nevada-Las Vegas,32,18,14,.563,7.67,5.06,,10,8,,14,4,,4,7,,2236,2099,,67.0,104.3,.301,.425,.531,50.8,56.5,9.1,8.6,.496,14.5,27.1,.222
204,Nevada,31,13,18,.419,4.16,6.53,,6,12,,7,7,,3,9,,2249,2284,,71.2,101.9,.321,.363,.546,50.2,56.5,9.0,10.0,.510,16.6,24.5,.240
205,New Hampshire,28,15,13,.536,-6.25,-7.14,,10,8,,10,4,,5,9,,1925,1819,,63.6,108.1,.252,.412,.536,53.1,48.2,7.3,8.6,.515,12.4,28.8,.169
206,New Mexico State NCAA,32,26,6,.813,6.75,0.54,,13,4,,13,2,,9,3,,2346,2081,,68.5,106.6,.348,.425,.556,55.2,53.7,7.4,12.4,.527,17.5,33.7,.243
207,New Mexico,32,13,19,.406,1.65,4.72,,5,12,,11,7,,2,9,,2376,2411,,71.5,103.0,.319,.377,.537,47.4,45.1,8.7,11.2,.499,14.5,23.8,.239
208,New Orleans,31,18,13,.581,-7.15,-7.15,,10,4,,12,2,,3,9,,2396,2291,,74.7,102.6,.399,.225,.548,49.1,47.3,10.4,7.4,.506,16.8,26.3,.291
209,Niagara,30,14,16,.467,-3.44,-3.34,,9,11,,7,4,,5,10,,2022,1965,,65.7,101.3,.277,.361,.533,48.7,49.8,8.5,7.5,.501,14.7,23.2,.202
210,Nicholls State,32,21,11,.656,-3.52,-6.23,,11,3,,11,1,,7,7,,2532,2284,,72.4,108.4,.213,.377,.547,51.3,43.5,11.4,10.5,.535,14.5,32.0,.134
211,NJIT,29,11,18,.379,-14.54,-6.08,,6,12,,6,8,,5,10,,1826,2030,,67.3,92.4,.311,.355,.496,47.9,44.7,8.9,10.4,.467,16.8,23.0,.205
212,Norfolk State NCAA,30,24,6,.800,-3.37,-10.30,,12,2,,11,0,,7,6,,2253,1912,,71.1,105.7,.377,.355,.559,53.7,47.6,9.4,11.4,.528,17.2,30.5,.263
213,North Alabama,30,9,21,.300,-11.08,-2.96,,2,14,,6,7,,3,12,,2081,2056,,70.6,97.4,.230,.413,.493,48.2,40.4,9.6,9.4,.460,14.5,27.5,.173
214,UNC Asheville,30,16,14,.533,-5.14,-5.62,,8,8,,9,6,,6,7,,2246,2046,,67.7,107.8,.376,.403,.563,48.5,49.1,9.3,12.1,.527,15.6,27.5,.273
215,North Carolina A&T,32,12,20,.375,-9.80,-4.35,,6,10,,7,4,,3,13,,2167,2250,,68.5,98.1,.284,.341,.503,49.3,48.6,11.3,9.8,.478,15.9,29.9,.186
216,North Carolina Central,31,16,15,.516,-11.16,-7.23,,8,5,,9,2,,5,11,,2256,2120,,70.9,101.5,.363,.336,.534,52.3,47.5,12.2,7.0,.505,18.8,33.5,.243
217,UNC Greensboro,31,17,14,.548,-2.15,-1.75,,9,9,,9,5,,7,6,,2015,2008,,63.3,101.5,.276,.390,.528,54.2,51.2,10.0,6.0,.498,17.6,33.3,.200
218,NC State,32,11,21,.344,3.47,6.06,,4,16,,7,10,,3,7,,2336,2419,,67.9,105.4,.291,.393,.514,48.1,43.9,10.2,9.6,.479,12.4,30.2,.211
219,UNC Wilmington,32,23,9,.719,-2.32,-3.52,,15,3,,12,2,,9,5,,2251,2176,,66.7,103.8,.325,.369,.517,47.6,42.8,11.3,11.1,.479,13.4,28.6,.236
220,North Carolina NCAA,33,24,9,.727,13.11,7.32,,15,5,,15,2,,8,3,,2558,2367,,70.2,109.6,.296,.375,.557,55.4,53.6,7.7,9.8,.521,14.4,30.4,.229
221,North Dakota State,33,23,10,.697,-1.06,-4.12,,13,5,,12,3,,9,6,,2469,2267,,68.2,108.0,.339,.373,.566,53.4,42.3,5.6,8.4,.528,15.0,25.3,.258
222,North Dakota,31,6,25,.194,-16.10,-4.79,,2,16,,4,11,,1,13,,2178,2444,,69.4,100.9,.315,.441,.519,49.4,50.5,5.7,4.9,.481,15.0,26.6,.231
223,North Florida,31,11,20,.355,-8.12,0.31,,7,9,,7,5,,4,15,,2124,2206,,69.1,98.4,.298,.501,.534,46.2,54.3,8.0,10.8,.501,18.5,26.2,.217
224,North Texas,31,25,6,.806,9.13,1.09,,16,2,,13,2,,9,1,,2014,1712,,60.9,106.3,.374,.424,.543,53.6,48.5,10.9,8.0,.518,16.1,32.2,.242
225,Northeastern,31,9,22,.290,-6.15,-1.34,,2,16,,6,8,,0,12,,1993,2142,,65.4,97.5,.306,.405,.536,51.6,49.6,7.1,7.7,.501,18.9,26.3,.225
226,Northern Arizona,32,9,23,.281,-13.13,-3.73,,5,15,,5,11,,3,11,,2161,2347,,67.8,98.9,.281,.419,.517,52.2,52.3,6.6,6.9,.492,17.1,28.6,.186
227,Northern Colorado,35,20,15,.571,-4.22,-3.59,,13,7,,9,4,,8,9,,2737,2689,,70.9,109.1,.310,.462,.587,50.4,44.9,5.8,7.0,.562,15.6,22.5,.223
228,Northern Illinois,30,9,21,.300,-10.08,-2.64,,6,14,,3,8,,6,11,,1923,2146,,68.6,93.1,.331,.335,.505,47.1,48.8,9.1,7.9,.472,17.7,24.3,.224
229,Northern Iowa,30,19,11,.633,6.09,3.33,,14,4,,10,4,,8,4,,2232,2115,,67.5,108.0,.335,.428,.574,50.4,45.3,8.2,4.9,.533,14.7,21.5,.264
230,Northern Kentucky,32,20,12,.625,-2.84,-5.84,,14,6,,12,4,,7,7,,2237,2083,,65.6,104.9,.259,.432,.531,51.9,54.7,13.6,7.4,.503,16.6,35.3,.185
231,Northwestern State,32,9,23,.281,-13.79,-2.93,,5,9,,6,6,,2,14,,2363,2573,,73.2,100.9,.244,.338,.526,48.5,53.7,8.7,8.6,.503,16.6,29.3,.169
232,Northwestern,31,15,16,.484,9.37,7.57,,7,13,,10,6,,3,8,,2262,2168,,68.8,104.4,.256,.387,.523,49.3,59.5,9.3,10.7,.495,12.3,25.4,.184
233,Notre Dame NCAA,32,22,10,.688,11.10,6.10,,15,5,,14,1,,7,5,,2320,2139,,66.1,108.9,.270,.430,.573,50.6,54.6,7.7,4.9,.544,14.0,22.5,.204
234,Oakland,32,20,12,.625,-1.29,-3.79,,12,7,,10,3,,7,8,,2380,2194,,69.0,107.3,.334,.414,.547,49.4,51.9,13.0,6.9,.502,15.3,31.4,.265
235,Ohio State NCAA,30,19,11,.633,14.36,9.03,,12,8,,13,3,,5,6,,2214,2054,,65.4,112.0,.335,.397,.582,51.8,49.3,6.7,12.7,.548,14.8,28.8,.254
236,Ohio,33,24,9,.727,2.10,-4.06,,14,6,,15,2,,8,6,,2440,2223,,68.9,107.3,.306,.456,.542,49.4,49.8,10.9,7.5,.508,13.3,27.2,.224
237,Oklahoma State,30,15,15,.500,13.30,10.60,,8,10,,10,6,,3,8,,2051,1970,,68.8,96.9,.330,.314,.510,50.8,50.4,12.1,15.7,.480,18.4,32.3,.220
